Time [s]	Speed [km/h]
0	0
24	0
44	0
51	20
66	20
73	0
89	0
103	40
118	40
128	20
130	20
142	40
152	20
159	0
159	0
179	0
186	20
201	20
208	0
224	0
238	40
253	40
263	20
265	20
277	40
287	20
294	0
294	0
314	0
321	20
336	20
343	0
359	0
373	40
388	40
398	20
400	20
412	40
422	20
429	0
429	0
494	0
512	50
524	50
528	40
532	40
548	60
558	60
569	70
579	70
589	50
593	50
615	70
620	70
650	0
660	0
