Phase	Time [s]	Speed [km/h]
Low	0	0
Low	1	0
Low	2	0
Low	3	0
Low	4	0
Low	5	0
Low	6	0
Low	7	0
Low	8	0
Low	9	0
Low	10	0
Low	11	0
Low	12	0,2
Low	13	3,1
Low	14	5,7
Low	15	8
Low	16	10,1
Low	17	12
Low	18	13,8
Low	19	15,4
Low	20	16,7
Low	21	17,7
Low	22	18,3
Low	23	18,8
Low	24	18,9
Low	25	18,4
Low	26	16,9
Low	27	14,3
Low	28	10,8
Low	29	7,1
Low	30	4
Low	31	0
Low	32	0
Low	33	0
Low	34	0
Low	35	1,5
Low	36	3,8
Low	37	5,6
Low	38	7,5
Low	39	9,2
Low	40	10,8
Low	41	12,4
Low	42	13,8
Low	43	15,2
Low	44	16,3
Low	45	17,3
Low	46	18
Low	47	18,8
Low	48	19,5
Low	49	20,2
Low	50	20,9
Low	51	21,7
Low	52	22,4
Low	53	23,1
Low	54	23,7
Low	55	24,4
Low	56	25,1
Low	57	25,4
Low	58	25,2
Low	59	23,4
Low	60	21,8
Low	61	19,7
Low	62	17,3
Low	63	14,7
Low	64	12
Low	65	9,4
Low	66	5,6
Low	67	3,1
Low	68	0
Low	69	0
Low	70	0
Low	71	0
Low	72	0
Low	73	0
Low	74	0
Low	75	0
Low	76	0
Low	77	0
Low	78	0
Low	79	0
Low	80	0
Low	81	0
Low	82	0
Low	83	0
Low	84	0
Low	85	0
Low	86	0
Low	87	0
Low	88	0
Low	89	0
Low	90	0
Low	91	0
Low	92	0
Low	93	0
Low	94	0
Low	95	0
Low	96	0
Low	97	0
Low	98	0
Low	99	0
Low	100	0
Low	101	0
Low	102	0
Low	103	0
Low	104	0
Low	105	0
Low	106	0
Low	107	0
Low	108	0,7
Low	109	1,1
Low	110	1,9
Low	111	2,5
Low	112	3,5
Low	113	4,7
Low	114	6,1
Low	115	7,5
Low	116	9,4
Low	117	11
Low	118	12,9
Low	119	14,5
Low	120	16,4
Low	121	18
Low	122	20
Low	123	21,5
Low	124	23,5
Low	125	25
Low	126	26,8
Low	127	28,2
Low	128	30
Low	129	31,4
Low	130	32,5
Low	131	33,2
Low	132	33,4
Low	133	33,7
Low	134	33,9
Low	135	34,2
Low	136	34,4
Low	137	34,7
Low	138	34,9
Low	139	35,2
Low	140	35,4
Low	141	35,7
Low	142	35,9
Low	143	36,6
Low	144	37,5
Low	145	38,4
Low	146	39,3
Low	147	40
Low	148	40,6
Low	149	41,1
Low	150	41,4
Low	151	41,6
Low	152	41,8
Low	153	41,8
Low	154	41,9
Low	155	41,9
Low	156	42
Low	157	42
Low	158	42,2
Low	159	42,3
Low	160	42,6
Low	161	43
Low	162	43,3
Low	163	43,7
Low	164	44
Low	165	44,3
Low	166	44,5
Low	167	44,6
Low	168	44,6
Low	169	44,5
Low	170	44,4
Low	171	44,3
Low	172	44,2
Low	173	44,1
Low	174	44
Low	175	43,9
Low	176	43,8
Low	177	43,7
Low	178	43,6
Low	179	43,5
Low	180	43,4
Low	181	43,3
Low	182	43,1
Low	183	42,9
Low	184	42,7
Low	185	42,5
Low	186	42,3
Low	187	42,2
Low	188	42,2
Low	189	42,2
Low	190	42,3
Low	191	42,4
Low	192	42,5
Low	193	42,7
Low	194	42,9
Low	195	43,1
Low	196	43,2
Low	197	43,3
Low	198	43,4
Low	199	43,4
Low	200	43,2
Low	201	42,9
Low	202	42,6
Low	203	42,2
Low	204	41,9
Low	205	41,5
Low	206	41
Low	207	40,5
Low	208	39,9
Low	209	39,3
Low	210	38,7
Low	211	38,1
Low	212	37,5
Low	213	36,9
Low	214	36,3
Low	215	35,7
Low	216	35,1
Low	217	34,5
Low	218	33,9
Low	219	33,6
Low	220	33,5
Low	221	33,6
Low	222	33,9
Low	223	34,3
Low	224	34,7
Low	225	35,1
Low	226	35,5
Low	227	35,9
Low	228	36,4
Low	229	36,9
Low	230	37,4
Low	231	37,9
Low	232	38,3
Low	233	38,7
Low	234	39,1
Low	235	39,3
Low	236	39,5
Low	237	39,7
Low	238	39,9
Low	239	40
Low	240	40,1
Low	241	40,2
Low	242	40,3
Low	243	40,4
Low	244	40,5
Low	245	40,5
Low	246	40,4
Low	247	40,3
Low	248	40,2
Low	249	40,1
Low	250	39,7
Low	251	38,8
Low	252	37,4
Low	253	35,6
Low	254	33,4
Low	255	31,2
Low	256	29,1
Low	257	27,6
Low	258	26,6
Low	259	26,2
Low	260	26,3
Low	261	26,7
Low	262	27,5
Low	263	28,4
Low	264	29,4
Low	265	30,4
Low	266	31,2
Low	267	31,9
Low	268	32,5
Low	269	33
Low	270	33,4
Low	271	33,8
Low	272	34,1
Low	273	34,3
Low	274	34,3
Low	275	33,9
Low	276	33,3
Low	277	32,6
Low	278	31,8
Low	279	30,7
Low	280	29,6
Low	281	28,6
Low	282	27,8
Low	283	27
Low	284	26,4
Low	285	25,8
Low	286	25,3
Low	287	24,9
Low	288	24,5
Low	289	24,2
Low	290	24
Low	291	23,8
Low	292	23,6
Low	293	23,5
Low	294	23,4
Low	295	23,3
Low	296	23,3
Low	297	23,2
Low	298	23,1
Low	299	23
Low	300	22,8
Low	301	22,5
Low	302	22,1
Low	303	21,7
Low	304	21,1
Low	305	20,4
Low	306	19,5
Low	307	18,5
Low	308	17,6
Low	309	16,6
Low	310	15,7
Low	311	14,9
Low	312	14,3
Low	313	14,1
Low	314	14
Low	315	13,9
Low	316	13,8
Low	317	13,7
Low	318	13,6
Low	319	13,5
Low	320	13,4
Low	321	13,3
Low	322	13,2
Low	323	13,2
Low	324	13,2
Low	325	13,4
Low	326	13,5
Low	327	13,7
Low	328	13,8
Low	329	14
Low	330	14,1
Low	331	14,3
Low	332	14,4
Low	333	14,4
Low	334	14,4
Low	335	14,3
Low	336	14,3
Low	337	14
Low	338	13
Low	339	11,4
Low	340	10,2
Low	341	8
Low	342	7
Low	343	6
Low	344	5,5
Low	345	5
Low	346	4,5
Low	347	4
Low	348	3,5
Low	349	3
Low	350	2,5
Low	351	2
Low	352	1,5
Low	353	1
Low	354	0,5
Low	355	0
Low	356	0
Low	357	0
Low	358	0
Low	359	0
Low	360	0
Low	361	2,2
Low	362	4,5
Low	363	6,6
Low	364	8,6
Low	365	10,6
Low	366	12,5
Low	367	14,4
Low	368	16,3
Low	369	17,9
Low	370	19,1
Low	371	19,9
Low	372	20,3
Low	373	20,5
Low	374	20,7
Low	375	21
Low	376	21,6
Low	377	22,6
Low	378	23,7
Low	379	24,8
Low	380	25,7
Low	381	26,2
Low	382	26,4
Low	383	26,4
Low	384	26,4
Low	385	26,5
Low	386	26,6
Low	387	26,8
Low	388	26,9
Low	389	27,2
Low	390	27,5
Low	391	28
Low	392	28,8
Low	393	29,9
Low	394	31
Low	395	31,9
Low	396	32,5
Low	397	32,6
Low	398	32,4
Low	399	32
Low	400	31,3
Low	401	30,3
Low	402	28
Low	403	27
Low	404	24
Low	405	22,5
Low	406	19
Low	407	17,5
Low	408	14
Low	409	12,5
Low	410	9
Low	411	7,5
Low	412	4
Low	413	2,9
Low	414	0
Low	415	0
Low	416	0
Low	417	0
Low	418	0
Low	419	0
Low	420	0
Low	421	0
Low	422	0
Low	423	0
Low	424	0
Low	425	0
Low	426	0
Low	427	0
Low	428	0
Low	429	0
Low	430	0
Low	431	0
Low	432	0
Low	433	0
Low	434	0
Low	435	0
Low	436	0
Low	437	0
Low	438	0
Low	439	0
Low	440	0
Low	441	0
Low	442	0
Low	443	0
Low	444	0
Low	445	0
Low	446	0
Low	447	0
Low	448	0
Low	449	0
Low	450	0
Low	451	0
Low	452	0
Low	453	0
Low	454	0
Low	455	0
Low	456	0
Low	457	0
Low	458	0
Low	459	0
Low	460	0
Low	461	0
Low	462	0
Low	463	0
Low	464	0
Low	465	0
Low	466	0
Low	467	0
Low	468	0
Low	469	0
Low	470	0
Low	471	0
Low	472	0
Low	473	0
Low	474	0
Low	475	0
Low	476	0
Low	477	0
Low	478	0
Low	479	0
Low	480	0
Low	481	1,6
Low	482	3,1
Low	483	4,6
Low	484	6,1
Low	485	7,8
Low	486	9,5
Low	487	11,3
Low	488	13,2
Low	489	15
Low	490	16,8
Low	491	18,4
Low	492	20,1
Low	493	21,6
Low	494	23,1
Low	495	24,6
Low	496	26
Low	497	27,5
Low	498	29
Low	499	30,6
Low	500	32,1
Low	501	33,7
Low	502	35,3
Low	503	36,8
Low	504	38,1
Low	505	39,3
Low	506	40,4
Low	507	41,2
Low	508	41,9
Low	509	42,6
Low	510	43,3
Low	511	44
Low	512	44,6
Low	513	45,3
Low	514	45,5
Low	515	45,5
Low	516	45,2
Low	517	44,7
Low	518	44,2
Low	519	43,6
Low	520	43,1
Low	521	42,8
Low	522	42,7
Low	523	42,8
Low	524	43,3
Low	525	43,9
Low	526	44,6
Low	527	45,4
Low	528	46,3
Low	529	47,2
Low	530	47,8
Low	531	48,2
Low	532	48,5
Low	533	48,7
Low	534	48,9
Low	535	49,1
Low	536	49,1
Low	537	49
Low	538	48,8
Low	539	48,6
Low	540	48,5
Low	541	48,4
Low	542	48,3
Low	543	48,2
Low	544	48,1
Low	545	47,5
Low	546	46,7
Low	547	45,7
Low	548	44,6
Low	549	42,9
Low	550	40,8
Low	551	38,2
Low	552	35,3
Low	553	31,8
Low	554	28,7
Low	555	25,8
Low	556	22,9
Low	557	20,2
Low	558	17,3
Low	559	15
Low	560	12,3
Low	561	10,3
Low	562	7,8
Low	563	6,5
Low	564	4,4
Low	565	3,2
Low	566	1,2
Low	567	0
Low	568	0
Low	569	0
Low	570	0
Low	571	0
Low	572	0
Low	573	0
Low	574	0
Low	575	0
Low	576	0
Low	577	0
Low	578	0
Low	579	0
Low	580	0
Low	581	0
Low	582	0
Low	583	0
Low	584	0
Low	585	0
Low	586	0
Low	587	0
Low	588	0
Low	589	0
Medium	590	0
Medium	591	0
Medium	592	0
Medium	593	0
Medium	594	0
Medium	595	0
Medium	596	0
Medium	597	0
Medium	598	0
Medium	599	0
Medium	600	0,6
Medium	601	1,9
Medium	602	2,7
Medium	603	5,2
Medium	604	7
Medium	605	9,6
Medium	606	11,4
Medium	607	14,1
Medium	608	15,8
Medium	609	18,2
Medium	610	19,7
Medium	611	21,8
Medium	612	23,2
Medium	613	24,7
Medium	614	25,8
Medium	615	26,7
Medium	616	27,2
Medium	617	27,7
Medium	618	28,1
Medium	619	28,4
Medium	620	28,7
Medium	621	29
Medium	622	29,2
Medium	623	29,4
Medium	624	29,4
Medium	625	29,3
Medium	626	28,9
Medium	627	28,5
Medium	628	28,1
Medium	629	27,6
Medium	630	26,9
Medium	631	26
Medium	632	24,6
Medium	633	22,8
Medium	634	21
Medium	635	19,5
Medium	636	18,6
Medium	637	18,4
Medium	638	19
Medium	639	20,1
Medium	640	21,5
Medium	641	23,1
Medium	642	24,9
Medium	643	26,4
Medium	644	27,9
Medium	645	29,2
Medium	646	30,4
Medium	647	31,6
Medium	648	32,8
Medium	649	34
Medium	650	35,1
Medium	651	36,3
Medium	652	37,4
Medium	653	38,6
Medium	654	39,6
Medium	655	40,6
Medium	656	41,6
Medium	657	42,4
Medium	658	43
Medium	659	43,6
Medium	660	44
Medium	661	44,4
Medium	662	44,8
Medium	663	45,2
Medium	664	45,6
Medium	665	46
Medium	666	46,5
Medium	667	47
Medium	668	47,5
Medium	669	48
Medium	670	48,6
Medium	671	49,1
Medium	672	49,7
Medium	673	50,2
Medium	674	50,8
Medium	675	51,3
Medium	676	51,8
Medium	677	52,3
Medium	678	52,9
Medium	679	53,4
Medium	680	54
Medium	681	54,5
Medium	682	55,1
Medium	683	55,6
Medium	684	56,2
Medium	685	56,7
Medium	686	57,3
Medium	687	57,9
Medium	688	58,4
Medium	689	58,8
Medium	690	58,9
Medium	691	58,4
Medium	692	58,1
Medium	693	57,6
Medium	694	56,9
Medium	695	56,3
Medium	696	55,7
Medium	697	55,3
Medium	698	55
Medium	699	54,7
Medium	700	54,5
Medium	701	54,4
Medium	702	54,3
Medium	703	54,2
Medium	704	54,1
Medium	705	53,8
Medium	706	53,5
Medium	707	53
Medium	708	52,6
Medium	709	52,2
Medium	710	51,9
Medium	711	51,7
Medium	712	51,7
Medium	713	51,8
Medium	714	52
Medium	715	52,3
Medium	716	52,6
Medium	717	52,9
Medium	718	53,1
Medium	719	53,2
Medium	720	53,3
Medium	721	53,3
Medium	722	53,4
Medium	723	53,5
Medium	724	53,7
Medium	725	54
Medium	726	54,4
Medium	727	54,9
Medium	728	55,6
Medium	729	56,3
Medium	730	57,1
Medium	731	57,9
Medium	732	58,8
Medium	733	59,6
Medium	734	60,3
Medium	735	60,9
Medium	736	61,3
Medium	737	61,7
Medium	738	61,8
Medium	739	61,8
Medium	740	61,6
Medium	741	61,2
Medium	742	60,8
Medium	743	60,4
Medium	744	59,9
Medium	745	59,4
Medium	746	58,9
Medium	747	58,6
Medium	748	58,2
Medium	749	57,9
Medium	750	57,7
Medium	751	57,5
Medium	752	57,2
Medium	753	57
Medium	754	56,8
Medium	755	56,6
Medium	756	56,6
Medium	757	56,7
Medium	758	57,1
Medium	759	57,6
Medium	760	58,2
Medium	761	59
Medium	762	59,8
Medium	763	60,6
Medium	764	61,4
Medium	765	62,2
Medium	766	62,9
Medium	767	63,5
Medium	768	64,2
Medium	769	64,4
Medium	770	64,4
Medium	771	64
Medium	772	63,5
Medium	773	62,9
Medium	774	62,4
Medium	775	62
Medium	776	61,6
Medium	777	61,4
Medium	778	61,2
Medium	779	61
Medium	780	60,7
Medium	781	60,2
Medium	782	59,6
Medium	783	58,9
Medium	784	58,1
Medium	785	57,2
Medium	786	56,3
Medium	787	55,3
Medium	788	54,4
Medium	789	53,4
Medium	790	52,4
Medium	791	51,4
Medium	792	50,4
Medium	793	49,4
Medium	794	48,5
Medium	795	47,5
Medium	796	46,5
Medium	797	45,4
Medium	798	44,3
Medium	799	43,1
Medium	800	42
Medium	801	40,8
Medium	802	39,7
Medium	803	38,8
Medium	804	38,1
Medium	805	37,4
Medium	806	37,1
Medium	807	36,9
Medium	808	37
Medium	809	37,5
Medium	810	37,8
Medium	811	38,2
Medium	812	38,6
Medium	813	39,1
Medium	814	39,6
